,Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths,PRED_CUMULATIVE_CASES,PRED_CUMULATIVE_DEATHS
0,2020-03-11,TR,Turkey,EURO,1.0,1.0,0.0,0.0,80323.52984397883,2623.158035815146
1,2020-03-12,TR,Turkey,EURO,0.0,1.0,0.0,0.0,80323.6233215723,2623.159787180711
2,2020-03-13,TR,Turkey,EURO,4.0,5.0,0.0,0.0,80324.27766472664,2623.172046739668
3,2020-03-14,TR,Turkey,EURO,0.0,5.0,0.0,0.0,80326.0537390027,2623.2053226854086
4,2020-03-15,TR,Turkey,EURO,0.0,5.0,0.0,0.0,80329.51240996133,2623.2701232113245
5,2020-03-16,TR,Turkey,EURO,42.0,47.0,0.0,0.0,80335.21454316341,2623.3769565108078
6,2020-03-17,TR,Turkey,EURO,0.0,47.0,0.0,0.0,80343.72100416978,2623.536330777249
7,2020-03-18,TR,Turkey,EURO,144.0,191.0,2.0,2.0,80355.59265854133,2623.7587542040405
8,2020-03-19,TR,Turkey,EURO,0.0,191.0,0.0,2.0,80371.39037183888,2624.0547349845756
9,2020-03-20,TR,Turkey,EURO,479.0,670.0,7.0,9.0,80391.67500962332,2624.4347813122445
10,2020-03-21,TR,Turkey,EURO,277.0,947.0,12.0,21.0,80417.0074374555,2624.9094013804392
11,2020-03-22,TR,Turkey,EURO,0.0,947.0,0.0,21.0,80447.94852089627,2625.489103382546
12,2020-03-23,TR,Turkey,EURO,289.0,1236.0,9.0,30.0,80485.05912550651,2626.18439551197
13,2020-03-24,TR,Turkey,EURO,293.0,1529.0,7.0,37.0,80528.90011684706,2627.005785962089
14,2020-03-25,TR,Turkey,EURO,343.0,1872.0,7.0,44.0,80580.0323604788,2627.963782926304
15,2020-03-26,TR,Turkey,EURO,561.0,2433.0,15.0,59.0,80639.01672196256,2629.068894597997
16,2020-03-27,TR,Turkey,EURO,1196.0,3629.0,16.0,75.0,80706.41406685924,2630.3316291705837
17,2020-03-28,TR,Turkey,EURO,2069.0,5698.0,17.0,92.0,80782.78526072968,2631.7624948374178
18,2020-03-29,TR,Turkey,EURO,1704.0,7402.0,16.0,108.0,80868.69116913473,2633.371999791933
19,2020-03-30,TR,Turkey,EURO,1869.0,9271.0,23.0,131.0,80964.69265763526,2635.1706522274662
20,2020-03-31,TR,Turkey,EURO,1556.0,10827.0,37.0,168.0,81071.35059179214,2637.1689603374934
21,2020-04-01,TR,Turkey,EURO,2704.0,13531.0,46.0,214.0,81189.22583716622,2639.3774323152743
22,2020-04-02,TR,Turkey,EURO,2148.0,15679.0,63.0,277.0,81318.87925931833,2641.8065763543473
23,2020-04-03,TR,Turkey,EURO,2456.0,18135.0,79.0,356.0,81460.8717238094,2644.4669006480453
24,2020-04-04,TR,Turkey,EURO,2786.0,20921.0,69.0,425.0,81615.7640962002,2647.3689133897374
25,2020-04-05,TR,Turkey,EURO,3013.0,23934.0,76.0,501.0,81784.1172420517,2650.52312277282
26,2020-04-06,TR,Turkey,EURO,3135.0,27069.0,73.0,574.0,81966.49202692464,2653.94003699069
27,2020-04-07,TR,Turkey,EURO,3148.0,30217.0,75.0,649.0,82163.44931638,2657.6301642367334
28,2020-04-08,TR,Turkey,EURO,3892.0,34109.0,76.0,725.0,82375.54997597856,2661.604012704409
29,2020-04-09,TR,Turkey,EURO,4117.0,38226.0,87.0,812.0,82603.35487128123,2665.8720905870887
30,2020-04-10,TR,Turkey,EURO,4056.0,42282.0,96.0,908.0,82847.4248678487,2670.4449060779525
31,2020-04-11,TR,Turkey,EURO,4747.0,47029.0,98.0,1006.0,83108.3208312421,2675.3329673707703
32,2020-04-12,TR,Turkey,EURO,5138.0,52167.0,95.0,1101.0,83386.60362702211,2680.546782658649
33,2020-04-13,TR,Turkey,EURO,4789.0,56956.0,97.0,1198.0,83682.8341207497,2686.096860135004
34,2020-04-14,TR,Turkey,EURO,4093.0,61049.0,98.0,1296.0,83997.57317798561,2691.9937079933225
35,2020-04-15,TR,Turkey,EURO,4062.0,65111.0,107.0,1403.0,84331.38166429072,2698.2478344270894
36,2020-04-16,TR,Turkey,EURO,4281.0,69392.0,115.0,1518.0,84684.82044522607,2704.869747629442
37,2020-04-17,TR,Turkey,EURO,4801.0,74193.0,125.0,1643.0,85058.45038635223,2711.8699557937925
38,2020-04-18,TR,Turkey,EURO,4353.0,78546.0,126.0,1769.0,85452.83235323019,2719.2589671137102
39,2020-04-19,TR,Turkey,EURO,3783.0,82329.0,121.0,1890.0,85868.52721142105,2727.047289782602
40,2020-04-20,TR,Turkey,EURO,3977.0,86306.0,127.0,2017.0,86306.09582648534,2735.245431993926
41,2020-04-21,TR,Turkey,EURO,4674.0,90980.0,123.0,2140.0,86766.09906398393,2743.8639019403527
42,2020-04-22,TR,Turkey,EURO,4611.0,95591.0,119.0,2259.0,87249.09778947788,2752.913207816173
43,2020-04-23,TR,Turkey,EURO,3083.0,98674.0,117.0,2376.0,87755.65286852786,2762.403857814834
44,2020-04-24,TR,Turkey,EURO,3116.0,101790.0,115.0,2491.0,88286.3251666948,2772.3463601287567
45,2020-04-25,TR,Turkey,EURO,3122.0,104912.0,109.0,2600.0,88841.67554953978,2782.7512229521762
46,2020-04-26,TR,Turkey,EURO,2861.0,107773.0,106.0,2706.0,89422.26488262338,2793.6289544783413
47,2020-04-27,TR,Turkey,EURO,2357.0,110130.0,99.0,2805.0,90028.65403150623,2804.9900629005297
48,2020-04-28,TR,Turkey,EURO,2131.0,112261.0,95.0,2900.0,90661.40386174986,2816.8450564118775
49,2020-04-29,TR,Turkey,EURO,2392.0,114653.0,92.0,2992.0,91321.07523891467,2829.204443206165
50,2020-04-30,TR,Turkey,EURO,2936.0,117589.0,89.0,3081.0,92008.22902856169,2842.0787314765385
51,2020-05-01,TR,Turkey,EURO,2615.0,120204.0,93.0,3174.0,92723.42609625155,2855.4784294162546
52,2020-05-02,TR,Turkey,EURO,2188.0,122392.0,84.0,3258.0,93467.22730754528,2869.414045219497
53,2020-05-03,TR,Turkey,EURO,1983.0,124375.0,78.0,3336.0,94240.19352800385,2883.8960870790743
54,2020-05-04,TR,Turkey,EURO,1670.0,126045.0,61.0,3397.0,95042.88562318821,2898.935063187846
55,2020-05-05,TR,Turkey,EURO,1614.0,127659.0,64.0,3461.0,95875.86445865847,2914.5414817400288
56,2020-05-06,TR,Turkey,EURO,1832.0,129491.0,59.0,3520.0,96739.69089997662,2930.7258509292496
57,2020-05-07,TR,Turkey,EURO,2253.0,131744.0,64.0,3584.0,97634.92581270242,2947.4986789481245
58,2020-05-08,TR,Turkey,EURO,1977.0,133721.0,57.0,3641.0,98562.13006239806,2964.870473990688
59,2020-05-09,TR,Turkey,EURO,1848.0,135569.0,48.0,3689.0,99521.86451462221,2982.8517442484354
60,2020-05-10,TR,Turkey,EURO,1546.0,137115.0,50.0,3739.0,100514.69003493778,3001.4529979175986
61,2020-05-11,TR,Turkey,EURO,1542.0,138657.0,47.0,3786.0,101541.1674889054,3020.6847431901897
62,2020-05-12,TR,Turkey,EURO,1114.0,139771.0,55.0,3841.0,102601.85774208508,3040.5574882601413
63,2020-05-13,TR,Turkey,EURO,1704.0,141475.0,53.0,3894.0,103697.32166003805,3061.081741319429
64,2020-05-14,TR,Turkey,EURO,1639.0,143114.0,58.0,3952.0,104828.12010832508,3082.2680105631716
65,2020-05-15,TR,Turkey,EURO,1635.0,144749.0,55.0,4007.0,105994.81395250757,3104.1268041827916
66,2020-05-16,TR,Turkey,EURO,1708.0,146457.0,48.0,4055.0,107197.96405814574,3126.6686303740116
67,2020-05-17,TR,Turkey,EURO,1610.0,148067.0,41.0,4096.0,108438.1312908011,3149.903997328902
68,2020-05-18,TR,Turkey,EURO,1368.0,149435.0,44.0,4140.0,109715.87651603305,3173.843413240558
69,2020-05-19,TR,Turkey,EURO,1158.0,150593.0,31.0,4171.0,111031.76059940366,3198.497386303299
70,2020-05-20,TR,Turkey,EURO,1022.0,151615.0,28.0,4199.0,112386.34440647397,3223.8764247106938
71,2020-05-21,TR,Turkey,EURO,972.0,152587.0,23.0,4222.0,113780.18880280457,3249.991036653786
72,2020-05-22,TR,Turkey,EURO,961.0,153548.0,27.0,4249.0,115213.85465395669,3276.851730329514
73,2020-05-23,TR,Turkey,EURO,952.0,154500.0,27.0,4276.0,116687.90282548964,3304.4690139277573
74,2020-05-24,TR,Turkey,EURO,1186.0,155686.0,32.0,4308.0,118202.89418296605,3332.853395644319
75,2020-05-25,TR,Turkey,EURO,1141.0,156827.0,32.0,4340.0,119759.38959194605,3362.015383672353
76,2020-05-26,TR,Turkey,EURO,987.0,157814.0,29.0,4369.0,121357.94991798972,3391.9654862036605
77,2020-05-27,TR,Turkey,EURO,948.0,158762.0,28.0,4397.0,122999.13602666046,3422.7142114342478
78,2020-05-28,TR,Turkey,EURO,1035.0,159797.0,34.0,4431.0,124683.50878351658,3454.2720675547953
79,2020-05-29,TR,Turkey,EURO,1182.0,160979.0,30.0,4461.0,126411.62905411984,3486.649562760349
80,2020-05-30,TR,Turkey,EURO,1141.0,162120.0,28.0,4489.0,128184.0577040309,3519.8572052453874
81,2020-05-31,TR,Turkey,EURO,983.0,163103.0,26.0,4515.0,130001.35559881025,3553.9055032000233
82,2020-06-01,TR,Turkey,EURO,839.0,163942.0,25.0,4540.0,131864.08360401966,3588.8049648168
83,2020-06-02,TR,Turkey,EURO,827.0,164769.0,23.0,4563.0,133772.8025852205,3624.5660982960017
84,2020-06-03,TR,Turkey,EURO,786.0,165555.0,22.0,4585.0,135728.07340797115,3661.1994118233615
85,2020-06-04,TR,Turkey,EURO,867.0,166422.0,24.0,4609.0,137730.4569378348,3698.7154135995715
86,2020-06-05,TR,Turkey,EURO,988.0,167410.0,21.0,4630.0,139780.51404037102,3737.124611812649
87,2020-06-06,TR,Turkey,EURO,930.0,168340.0,18.0,4648.0,141878.80558114115,3776.437514656811
88,2020-06-07,TR,Turkey,EURO,878.0,169218.0,21.0,4669.0,144025.8924257066,3816.6646303240323
89,2020-06-08,TR,Turkey,EURO,914.0,170132.0,23.0,4692.0,146222.33543962805,3857.8164670151946
90,2020-06-09,TR,Turkey,EURO,989.0,171121.0,19.0,4711.0,148468.69548846642,3899.9035329113885
91,2020-06-10,TR,Turkey,EURO,993.0,172114.0,18.0,4729.0,150765.53343778214,3942.9363362185886
92,2020-06-11,TR,Turkey,EURO,922.0,173036.0,17.0,4746.0,153113.41015313525,3986.9253851207086
93,2020-06-12,TR,Turkey,EURO,987.0,174023.0,17.0,4763.0,155512.88650008725,4031.8811878138276
94,2020-06-13,TR,Turkey,EURO,1195.0,175218.0,15.0,4778.0,157964.52334419804,4077.814252498216
95,2020-06-14,TR,Turkey,EURO,1459.0,176677.0,14.0,4792.0,160468.8815510314,4124.7350873579035
96,2020-06-15,TR,Turkey,EURO,1562.0,178239.0,15.0,4807.0,163026.52198614704,4172.654200588999
97,2020-06-16,TR,Turkey,EURO,1592.0,179831.0,18.0,4825.0,165638.00551510544,4221.582100385689
98,2020-06-17,TR,Turkey,EURO,1467.0,181298.0,17.0,4842.0,168303.89300346555,4271.529294943297
99,2020-06-18,TR,Turkey,EURO,1429.0,182727.0,19.0,4861.0,171024.74531679222,4322.5062924542635
100,2020-06-19,TR,Turkey,EURO,1304.0,184031.0,21.0,4882.0,173801.1233206417,4374.523601106286
101,2020-06-20,TR,Turkey,EURO,1214.0,185245.0,23.0,4905.0,176633.58788057748,4427.591729100945
102,2020-06-21,TR,Turkey,EURO,1248.0,186493.0,22.0,4927.0,179522.69986216066,4481.721184624015
103,2020-06-22,TR,Turkey,EURO,1192.0,187685.0,23.0,4950.0,182469.02013095198,4536.922475878795
104,2020-06-23,TR,Turkey,EURO,1212.0,188897.0,24.0,4974.0,185473.1095525105,4593.206111049954
105,2020-06-24,TR,Turkey,EURO,1268.0,190165.0,27.0,5001.0,188535.52899240056,4650.582598337414
106,2020-06-25,TR,Turkey,EURO,1492.0,191657.0,24.0,5025.0,191656.83931617893,4709.062445926573
107,2020-06-26,TR,Turkey,EURO,1458.0,193115.0,21.0,5046.0,194837.60138940954,4768.6561620133925
108,2020-06-27,TR,Turkey,EURO,1396.0,194511.0,19.0,5065.0,198078.37607765384,4829.374254796747
109,2020-06-28,TR,Turkey,EURO,1372.0,195883.0,17.0,5082.0,201379.72424647008,4891.227232468582
110,2020-06-29,TR,Turkey,EURO,1356.0,197239.0,15.0,5097.0,204742.20676141593,4954.225603214209
111,2020-06-30,TR,Turkey,EURO,1374.0,198613.0,18.0,5115.0,208166.38448806148,5018.3798752432685
112,2020-07-01,TR,Turkey,EURO,1293.0,199906.0,16.0,5131.0,211652.81829196104,5083.700556727976
113,2020-07-02,TR,Turkey,EURO,1192.0,201098.0,19.0,5150.0,215202.06903867674,5150.198155876982
114,2020-07-03,TR,Turkey,EURO,1186.0,202284.0,17.0,5167.0,218814.6975937676,5217.883180878975
115,2020-07-04,TR,Turkey,EURO,1172.0,203456.0,19.0,5186.0,222491.2648227975,5286.766139929567
116,2020-07-05,TR,Turkey,EURO,1154.0,204610.0,20.0,5206.0,226232.33159133262,5356.857541219482
117,2020-07-06,TR,Turkey,EURO,1148.0,205758.0,19.0,5225.0,230038.45876491588,5428.167892938456
118,2020-07-07,TR,Turkey,EURO,1086.0,206844.0,16.0,5241.0,233910.20720912586,5500.707703281461
119,2020-07-08,TR,Turkey,EURO,1053.0,207897.0,19.0,5260.0,237848.13778952183,5574.487480458081
120,2020-07-09,TR,Turkey,EURO,1041.0,208938.0,22.0,5282.0,241852.81137165043,5649.5177326347675
121,2020-07-10,TR,Turkey,EURO,1024.0,209962.0,18.0,5300.0,245924.7888210921,5725.808968028146
122,2020-07-11,TR,Turkey,EURO,1003.0,210965.0,23.0,5323.0,250064.6310033913,5803.371694815496
123,2020-07-12,TR,Turkey,EURO,1016.0,211981.0,21.0,5344.0,254272.89878411725,5882.216421200288
124,2020-07-13,TR,Turkey,EURO,1012.0,212993.0,19.0,5363.0,258550.1530288288,5962.353655375109
125,2020-07-14,TR,Turkey,EURO,1008.0,214001.0,19.0,5382.0,262896.9546030855,6043.793905524921
126,2020-07-15,TR,Turkey,EURO,992.0,214993.0,20.0,5402.0,267313.86437245266,6126.547679849411
127,2020-07-16,TR,Turkey,EURO,947.0,215940.0,17.0,5419.0,271801.4432024819,6210.625486544193
128,2020-07-17,TR,Turkey,EURO,933.0,216873.0,21.0,5440.0,276360.2519587488,6296.037833799352
129,2020-07-18,TR,Turkey,EURO,,,,,280990.85150680353,6382.795229800895
130,2020-07-19,TR,Turkey,EURO,,,,,285693.80271220865,6470.908182756311
131,2020-07-20,TR,Turkey,EURO,,,,,290469.6664405228,6560.387200852949
132,2020-07-21,TR,Turkey,EURO,,,,,295319.00355731405,6651.242792286072
133,2020-07-22,TR,Turkey,EURO,,,,,300242.3749281354,6743.485465243086
134,2020-07-23,TR,Turkey,EURO,,,,,305240.341418557,6837.125727925193
135,2020-07-24,TR,Turkey,EURO,,,,,310313.46389412135,6932.174088519916
136,2020-07-25,TR,Turkey,EURO,,,,,315462.3032204125,7028.641055218444
137,2020-07-26,TR,Turkey,EURO,,,,,320687.42026297527,7126.537136222154
138,2020-07-27,TR,Turkey,EURO,,,,,325989.3758873775,7225.872839720372
139,2020-07-28,TR,Turkey,EURO,,,,,331368.73095918726,7326.658673906151
140,2020-07-29,TR,Turkey,EURO,,,,,336826.04634393996,7428.905146979529
141,2020-07-30,TR,Turkey,EURO,,,,,342361.8829072233,7532.6227671265715
142,2020-07-31,TR,Turkey,EURO,,,,,347976.80151458475,7637.822042524267
143,2020-08-01,TR,Turkey,EURO,,,,,353671.36303158104,7744.513481390115
144,2020-08-02,TR,Turkey,EURO,,,,,359446.1283238016,7852.70759193009
145,2020-08-03,TR,Turkey,EURO,,,,,365301.6582567644,7962.414882302435
146,2020-08-04,TR,Turkey,EURO,,,,,371238.51369606523,8073.645860716037
147,2020-08-05,TR,Turkey,EURO,,,,,377257.2555072441,8186.411035376752
148,2020-08-06,TR,Turkey,EURO,,,,,383358.44455587654,8300.72091444853
149,2020-08-07,TR,Turkey,EURO,,,,,389542.6417075194,8416.586006156553
150,2020-08-08,TR,Turkey,EURO,,,,,395810.40782771655,8534.016818672802
151,2020-08-09,TR,Turkey,EURO,,,,,402162.3037820555,8653.023860198713
152,2020-08-10,TR,Turkey,EURO,,,,,408598.890436066,8773.617638923262
153,2020-08-11,TR,Turkey,EURO,,,,,415120.72865534236,8895.808663060574
154,2020-08-12,TR,Turkey,EURO,,,,,421728.37930543185,9019.60744076796
155,2020-08-13,TR,Turkey,EURO,,,,,428422.40325189056,9145.024480264552
156,2020-08-14,TR,Turkey,EURO,,,,,435203.3613602808,9272.07028973234
157,2020-08-15,TR,Turkey,EURO,,,,,442071.8144961605,9400.755377372412
158,2020-08-16,TR,Turkey,EURO,,,,,449028.32352510694,9531.09025137677
